user_id	feature	counts
9003d274774f4c47e62f77600b08ac1d	friend	26
9003d274774f4c47e62f77600b08ac1d	illustrations	61
9003d274774f4c47e62f77600b08ac1d	series	13
9003d274774f4c47e62f77600b08ac1d	book	64
9003d274774f4c47e62f77600b08ac1d	experiences	11
9003d274774f4c47e62f77600b08ac1d	time	16
9003d274774f4c47e62f77600b08ac1d	way	19
9003d274774f4c47e62f77600b08ac1d	brother	11
9003d274774f4c47e62f77600b08ac1d	school	22
9003d274774f4c47e62f77600b08ac1d	readers	99
9003d274774f4c47e62f77600b08ac1d	characters	21
9003d274774f4c47e62f77600b08ac1d	girls	14
9003d274774f4c47e62f77600b08ac1d	deal	12
9003d274774f4c47e62f77600b08ac1d	life	14
9003d274774f4c47e62f77600b08ac1d	animals	16
9003d274774f4c47e62f77600b08ac1d	information	17
9003d274774f4c47e62f77600b08ac1d	ways	28
9003d274774f4c47e62f77600b08ac1d	world	15
9003d274774f4c47e62f77600b08ac1d	nature	12
9003d274774f4c47e62f77600b08ac1d	part	12
9003d274774f4c47e62f77600b08ac1d	text	16
9003d274774f4c47e62f77600b08ac1d	colors	19
9003d274774f4c47e62f77600b08ac1d	times	12
9003d274774f4c47e62f77600b08ac1d	story	28
9003d274774f4c47e62f77600b08ac1d	grade	13
9003d274774f4c47e62f77600b08ac1d	sister	14
9003d274774f4c47e62f77600b08ac1d	boy	12
9003d274774f4c47e62f77600b08ac1d	friends	13
9003d274774f4c47e62f77600b08ac1d	girl	20
9003d274774f4c47e62f77600b08ac1d	man	17
9003d274774f4c47e62f77600b08ac1d	day	11
9003d274774f4c47e62f77600b08ac1d	title	18
9003d274774f4c47e62f77600b08ac1d	mother	11
9003d274774f4c47e62f77600b08ac1d	pages	14
9003d274774f4c47e62f77600b08ac1d	place	15
9003d274774f4c47e62f77600b08ac1d	page	11
9003d274774f4c47e62f77600b08ac1d	things	13
9003d274774f4c47e62f77600b08ac1d	youngsters	14
9003d274774f4c47e62f77600b08ac1d	family	11
ce5d96de887ca0484ad4e340f29100f7	story	15
ce5d96de887ca0484ad4e340f29100f7	book	36
ce5d96de887ca0484ad4e340f29100f7	read	26
ce5d96de887ca0484ad4e340f29100f7	female	11
ce5d96de887ca0484ad4e340f29100f7	boy	16
37b3e60b4e4152c580fd798d405150ff	fight	11
37b3e60b4e4152c580fd798d405150ff	story	106
37b3e60b4e4152c580fd798d405150ff	stories	43
37b3e60b4e4152c580fd798d405150ff	volume	31
37b3e60b4e4152c580fd798d405150ff	comic	21
37b3e60b4e4152c580fd798d405150ff	arc	25
37b3e60b4e4152c580fd798d405150ff	job	22
37b3e60b4e4152c580fd798d405150ff	characters	29
37b3e60b4e4152c580fd798d405150ff	character	15
37b3e60b4e4152c580fd798d405150ff	book	31
37b3e60b4e4152c580fd798d405150ff	world	11
37b3e60b4e4152c580fd798d405150ff	issues	42
37b3e60b4e4152c580fd798d405150ff	run	11
37b3e60b4e4152c580fd798d405150ff	series	12
37b3e60b4e4152c580fd798d405150ff	issue	30
37b3e60b4e4152c580fd798d405150ff	novel	15
37b3e60b4e4152c580fd798d405150ff	way	11
37b3e60b4e4152c580fd798d405150ff	characterization	11
ca1c301fff032671a4fd555429db2298	book	37
ca1c301fff032671a4fd555429db2298	story	13
ca1c301fff032671a4fd555429db2298	read	14
cd3d26d0f07433c7bb38af11538643c9	tale	18
cd3d26d0f07433c7bb38af11538643c9	read	15
cd3d26d0f07433c7bb38af11538643c9	review	15
cd3d26d0f07433c7bb38af11538643c9	series	11
cd3d26d0f07433c7bb38af11538643c9	characters	31
cd3d26d0f07433c7bb38af11538643c9	romance	18
cd3d26d0f07433c7bb38af11538643c9	story	39
eebdcb4dd2fe50fac1d2912494fc283f	story	16
0882497d3032e06fd04345c7b8ea15ed	book	18
488ad19e14f49c880a45f19eb8f0600c	people	20
488ad19e14f49c880a45f19eb8f0600c	time	12
488ad19e14f49c880a45f19eb8f0600c	world	14
488ad19e14f49c880a45f19eb8f0600c	story	20
488ad19e14f49c880a45f19eb8f0600c	book	22
488ad19e14f49c880a45f19eb8f0600c	life	15
488ad19e14f49c880a45f19eb8f0600c	girl	16
488ad19e14f49c880a45f19eb8f0600c	man	14
488ad19e14f49c880a45f19eb8f0600c	characters	17
488ad19e14f49c880a45f19eb8f0600c	writer	16
488ad19e14f49c880a45f19eb8f0600c	novel	30
488ad19e14f49c880a45f19eb8f0600c	stories	23
488ad19e14f49c880a45f19eb8f0600c	author	11
488ad19e14f49c880a45f19eb8f0600c	read	11
488ad19e14f49c880a45f19eb8f0600c	friend	13
488ad19e14f49c880a45f19eb8f0600c	writing	14
488ad19e14f49c880a45f19eb8f0600c	woman	13
36a97ed9d18b56d2b1a6fe0e3c115e06	woman	27
36a97ed9d18b56d2b1a6fe0e3c115e06	way	25
36a97ed9d18b56d2b1a6fe0e3c115e06	book	107
36a97ed9d18b56d2b1a6fe0e3c115e06	time	46
36a97ed9d18b56d2b1a6fe0e3c115e06	man	26
36a97ed9d18b56d2b1a6fe0e3c115e06	life	28
36a97ed9d18b56d2b1a6fe0e3c115e06	scenes	16
36a97ed9d18b56d2b1a6fe0e3c115e06	characters	16
36a97ed9d18b56d2b1a6fe0e3c115e06	scene	14
36a97ed9d18b56d2b1a6fe0e3c115e06	attraction	18
36a97ed9d18b56d2b1a6fe0e3c115e06	relationship	22
36a97ed9d18b56d2b1a6fe0e3c115e06	guy	19
36a97ed9d18b56d2b1a6fe0e3c115e06	things	26
36a97ed9d18b56d2b1a6fe0e3c115e06	books	15
36a97ed9d18b56d2b1a6fe0e3c115e06	people	14
36a97ed9d18b56d2b1a6fe0e3c115e06	story	29
36a97ed9d18b56d2b1a6fe0e3c115e06	twist	13
36a97ed9d18b56d2b1a6fe0e3c115e06	family	14
36a97ed9d18b56d2b1a6fe0e3c115e06	friends	14
36a97ed9d18b56d2b1a6fe0e3c115e06	sister	18
36a97ed9d18b56d2b1a6fe0e3c115e06	friend	15
36a97ed9d18b56d2b1a6fe0e3c115e06	father	12
36a97ed9d18b56d2b1a6fe0e3c115e06	confrontation	21
36a97ed9d18b56d2b1a6fe0e3c115e06	girl	14
36a97ed9d18b56d2b1a6fe0e3c115e06	thing	11
36a97ed9d18b56d2b1a6fe0e3c115e06	years	18
36a97ed9d18b56d2b1a6fe0e3c115e06	part	16
4922591667fd3e8adc0c5e3d42cf557a	miniseries	116
4922591667fd3e8adc0c5e3d42cf557a	category	18
4922591667fd3e8adc0c5e3d42cf557a	book	14
4922591667fd3e8adc0c5e3d42cf557a	stars	15
4922591667fd3e8adc0c5e3d42cf557a	romance	19
4922591667fd3e8adc0c5e3d42cf557a	read	14
4922591667fd3e8adc0c5e3d42cf557a	hero	15
4922591667fd3e8adc0c5e3d42cf557a	characters	20
4922591667fd3e8adc0c5e3d42cf557a	series	12
c31b43353dff89621abebdbcfa5ee7eb	book	17
da7a0c5ee0c89973224d8853445be68e	book	12
ac1f8cb05733d765da3f7b2f30677cbf	part	28
5d0ee45adc52467172e5cc4fe2cfd66f	book	13
f45ac1f37f5fca850055457c7fa38a13	thing	16
f45ac1f37f5fca850055457c7fa38a13	woman	20
f45ac1f37f5fca850055457c7fa38a13	book	68
f45ac1f37f5fca850055457c7fa38a13	guy	11
f45ac1f37f5fca850055457c7fa38a13	novel	27
f45ac1f37f5fca850055457c7fa38a13	part	11
f45ac1f37f5fca850055457c7fa38a13	side	12
f45ac1f37f5fca850055457c7fa38a13	time	37
f45ac1f37f5fca850055457c7fa38a13	way	16
f45ac1f37f5fca850055457c7fa38a13	one	21
f45ac1f37f5fca850055457c7fa38a13	character	12
f45ac1f37f5fca850055457c7fa38a13	author	13
f45ac1f37f5fca850055457c7fa38a13	read	28
f45ac1f37f5fca850055457c7fa38a13	story	17
f45ac1f37f5fca850055457c7fa38a13	characters	18
d06fb30b12da1db7a1e5d596694ed863	voice	11
d06fb30b12da1db7a1e5d596694ed863	voices	11
d06fb30b12da1db7a1e5d596694ed863	story	46
d06fb30b12da1db7a1e5d596694ed863	read	93
d06fb30b12da1db7a1e5d596694ed863	people	11
d06fb30b12da1db7a1e5d596694ed863	characters	27
d06fb30b12da1db7a1e5d596694ed863	plot	15
d06fb30b12da1db7a1e5d596694ed863	character	11
d06fb30b12da1db7a1e5d596694ed863	time	18
d06fb30b12da1db7a1e5d596694ed863	book	16
d06fb30b12da1db7a1e5d596694ed863	job	13
d06fb30b12da1db7a1e5d596694ed863	love	17
796464c3244a75cb7b27ee7b3a9904dc	book	63
796464c3244a75cb7b27ee7b3a9904dc	review	31
796464c3244a75cb7b27ee7b3a9904dc	friend	12
796464c3244a75cb7b27ee7b3a9904dc	characters	27
ebb132d2ed7ece4d8caa1fbcd6432077	romance	13
ebb132d2ed7ece4d8caa1fbcd6432077	story	12
9748a6da34c4b799d1de5c1031faff5b	copy	15
9748a6da34c4b799d1de5c1031faff5b	review	14
8e7e5b546a63cb9add8431ee6914cf59	thing	16
8e7e5b546a63cb9add8431ee6914cf59	books	12
8e7e5b546a63cb9add8431ee6914cf59	book	26
db87c2547de895854ac7d3d0b61f2d2f	book	17
db87c2547de895854ac7d3d0b61f2d2f	read	13
95e9f56db696fdc8dcc61e64da16c2c4	groups	13
8444ed5f25c636065370da187e76f8e5	story	40
8444ed5f25c636065370da187e76f8e5	series	13
8444ed5f25c636065370da187e76f8e5	book	16
8444ed5f25c636065370da187e76f8e5	stories	15
8444ed5f25c636065370da187e76f8e5	art	12
8444ed5f25c636065370da187e76f8e5	stuff	15
22fc4d41d8bf44f72d9539f25f0e7748	character	13
22fc4d41d8bf44f72d9539f25f0e7748	town	14
22fc4d41d8bf44f72d9539f25f0e7748	characters	22
22fc4d41d8bf44f72d9539f25f0e7748	life	18
22fc4d41d8bf44f72d9539f25f0e7748	time	11
22fc4d41d8bf44f72d9539f25f0e7748	person	21
22fc4d41d8bf44f72d9539f25f0e7748	woman	16
22fc4d41d8bf44f72d9539f25f0e7748	family	16
22fc4d41d8bf44f72d9539f25f0e7748	house	11
22fc4d41d8bf44f72d9539f25f0e7748	man	13
22fc4d41d8bf44f72d9539f25f0e7748	moments	14
22fc4d41d8bf44f72d9539f25f0e7748	read	14
22fc4d41d8bf44f72d9539f25f0e7748	world	12
d1c5dfb72ce85e5f4155fd147bb6b4e7	read	15
d1c5dfb72ce85e5f4155fd147bb6b4e7	book	20
aefe566b7b0715a77f19883c060ad241	book	18
b0ed09d14a462cb2d27327b87edf6f68	girl	13
b0ed09d14a462cb2d27327b87edf6f68	book	32
b0ed09d14a462cb2d27327b87edf6f68	stories	21
b0ed09d14a462cb2d27327b87edf6f68	women	18
b0ed09d14a462cb2d27327b87edf6f68	people	14
b0ed09d14a462cb2d27327b87edf6f68	things	11
b0ed09d14a462cb2d27327b87edf6f68	ways	14
b0ed09d14a462cb2d27327b87edf6f68	story	14
b0ed09d14a462cb2d27327b87edf6f68	characters	17
b0ed09d14a462cb2d27327b87edf6f68	character	12
0af70badbe3903b40f78513ace524e99	book	28
0af70badbe3903b40f78513ace524e99	character	17
208f755b40c269eb40a487f7b543563d	book	14
203eed97230ffba4d558fd3db15f59a5	character	11
203eed97230ffba4d558fd3db15f59a5	story	15
203eed97230ffba4d558fd3db15f59a5	romance	18
676acbb19c053b57b4899654ebcf31ec	book	31
676acbb19c053b57b4899654ebcf31ec	time	15
676acbb19c053b57b4899654ebcf31ec	man	11
676acbb19c053b57b4899654ebcf31ec	story	12
676acbb19c053b57b4899654ebcf31ec	romance	11
1c273b24a02769e228c09f4f9d6dd63b	rating	38
1c273b24a02769e228c09f4f9d6dd63b	book	11
1c273b24a02769e228c09f4f9d6dd63b	read	80
1c273b24a02769e228c09f4f9d6dd63b	character	24
1c273b24a02769e228c09f4f9d6dd63b	review	26
5b6b5cc10b4f863d55fa2f8e34cb3f32	story	11
af941aae76ff1b9c9b256cbb8ebc2aef	story	22
af941aae76ff1b9c9b256cbb8ebc2aef	book	17
c540165aafcb418e9d2e8d81f5600713	book	11
