user_id	item_id	rating
4922591667fd3e8adc0c5e3d42cf557a	6218281	4.25
4922591667fd3e8adc0c5e3d42cf557a	8667848	3.5
4922591667fd3e8adc0c5e3d42cf557a	15818107	2.5
4922591667fd3e8adc0c5e3d42cf557a	18293427	2.0
4922591667fd3e8adc0c5e3d42cf557a	6482837	2.5
4922591667fd3e8adc0c5e3d42cf557a	5310515	4.5
4922591667fd3e8adc0c5e3d42cf557a	5060378	2.75
4922591667fd3e8adc0c5e3d42cf557a	11857408	2.0
4922591667fd3e8adc0c5e3d42cf557a	25573737	2.75
4922591667fd3e8adc0c5e3d42cf557a	17061	2.5
4922591667fd3e8adc0c5e3d42cf557a	118944	4.75
4922591667fd3e8adc0c5e3d42cf557a	7686667	2.5
4922591667fd3e8adc0c5e3d42cf557a	16151178	5.0
4922591667fd3e8adc0c5e3d42cf557a	18693716	1.5
4922591667fd3e8adc0c5e3d42cf557a	20564453	4.25
4922591667fd3e8adc0c5e3d42cf557a	16171291	3.75
4922591667fd3e8adc0c5e3d42cf557a	6437061	4.25
4922591667fd3e8adc0c5e3d42cf557a	5161066	3.0
4922591667fd3e8adc0c5e3d42cf557a	2168860	4.75
4922591667fd3e8adc0c5e3d42cf557a	16150996	1.5
4922591667fd3e8adc0c5e3d42cf557a	11381643	1.0
4922591667fd3e8adc0c5e3d42cf557a	100915	3.25
4922591667fd3e8adc0c5e3d42cf557a	8537327	2.75
4922591667fd3e8adc0c5e3d42cf557a	27083865	2.75
4922591667fd3e8adc0c5e3d42cf557a	1898	3.0
4922591667fd3e8adc0c5e3d42cf557a	101299	1.0
4922591667fd3e8adc0c5e3d42cf557a	17572903	2.25
4922591667fd3e8adc0c5e3d42cf557a	4137	1.25
4922591667fd3e8adc0c5e3d42cf557a	21853633	4.5
4922591667fd3e8adc0c5e3d42cf557a	304027	5.0
4922591667fd3e8adc0c5e3d42cf557a	16109563	4.25
4922591667fd3e8adc0c5e3d42cf557a	8306761	1.5
4922591667fd3e8adc0c5e3d42cf557a	26245850	3.5
4922591667fd3e8adc0c5e3d42cf557a	8709526	1.5
4922591667fd3e8adc0c5e3d42cf557a	6609765	4.0
4922591667fd3e8adc0c5e3d42cf557a	50	3.25
4922591667fd3e8adc0c5e3d42cf557a	28449257	2.25
4922591667fd3e8adc0c5e3d42cf557a	10112885	1.25
4922591667fd3e8adc0c5e3d42cf557a	140075	4.5
4922591667fd3e8adc0c5e3d42cf557a	232576	4.25
4922591667fd3e8adc0c5e3d42cf557a	17372058	5.0
4922591667fd3e8adc0c5e3d42cf557a	17560674	5.0
4922591667fd3e8adc0c5e3d42cf557a	6366437	2.0
4922591667fd3e8adc0c5e3d42cf557a	13312527	2.0
4922591667fd3e8adc0c5e3d42cf557a	21943246	3.25
4922591667fd3e8adc0c5e3d42cf557a	17801656	4.75
4922591667fd3e8adc0c5e3d42cf557a	60931	3.0
4922591667fd3e8adc0c5e3d42cf557a	24806344	3.25
4922591667fd3e8adc0c5e3d42cf557a	16085481	3.75
4922591667fd3e8adc0c5e3d42cf557a	21965107	3.5
4922591667fd3e8adc0c5e3d42cf557a	4447622	1.75
4922591667fd3e8adc0c5e3d42cf557a	3817859	4.25
4922591667fd3e8adc0c5e3d42cf557a	21325	3.5
4922591667fd3e8adc0c5e3d42cf557a	27556157	4.75
4922591667fd3e8adc0c5e3d42cf557a	3591262	2.75
4922591667fd3e8adc0c5e3d42cf557a	18240407	4.0
4922591667fd3e8adc0c5e3d42cf557a	22571275	1.75
4922591667fd3e8adc0c5e3d42cf557a	8559047	4.75
4922591667fd3e8adc0c5e3d42cf557a	2248573	2.75
4922591667fd3e8adc0c5e3d42cf557a	676924	1.75
4922591667fd3e8adc0c5e3d42cf557a	20307478	1.5
4922591667fd3e8adc0c5e3d42cf557a	8428195	1.5
4922591667fd3e8adc0c5e3d42cf557a	18816603	2.5
