item_id,user_id,rating
4303163,713cc3505e77532b97d0a69812320fa7,2.0
192805,5f0d7ea4515a98abebea35cec77f864c,4.0
17307329,5ea69cb1c59ae8a4ef2e5645b9ca0dd7,4.0
17307329,b72ec21d0b2163b1537cf477c64da101,4.0
36239248,78902bd65f566d0316b0177686e088ae,5.0
23167683,9003d274774f4c47e62f77600b08ac1d,3.0
23167683,9131e02af6b7d8d2dd23472b264971af,4.0
48100,ba2455719e99ae6e0771877da9e81474,3.0
27423576,0fc741afbd11cb76f5015d1572542bf6,5.0
1171422,0f6a6aa3ee8e5296d843bed2d66f498d,4.0
7932435,8b3596a20a3bc901d87525b9d5426dd2,2.0
342923,405965e995cf54fa346c40f611148e7c,5.0
12671440,6a251ebf845730e8a6d1dfeed0b5efc9,3.0
12671440,1600cf5d7ca81fecf0f7bd68c221ae5c,3.0
6996594,66c59658c35fb767621a098ca78ef2c5,3.0
8227541,ee60ae9ed97dc951d72559081d12b82f,4.0
18409574,09af620f28732758e27523c9f6182625,2.0
17760231,b3f40625bbfacfd161804d98ca45300f,4.0
24714638,b836907abf2a68f725b623ae94085cab,5.0
24714638,ce5d96de887ca0484ad4e340f29100f7,4.0
24714638,5da6652c9c0e4013844612b832e4c66d,5.0
25066792,37b3e60b4e4152c580fd798d405150ff,4.0
8056216,ca1c301fff032671a4fd555429db2298,2.0
21844561,177ec51b299a5805efb8457488273570,4.0
14311053,cd3d26d0f07433c7bb38af11538643c9,4.0
31132782,eebdcb4dd2fe50fac1d2912494fc283f,3.0
128456,fb8b3888b12da9195ec3049f28d94d83,3.0
424796,625a543339370998d04a3ef63b708a95,4.0
31396255,0882497d3032e06fd04345c7b8ea15ed,4.0
31396255,cfe555a432e1e9d63874c7f0535b2a73,5.0
31396255,924d9eb576187d158b519a1ac4af1529,3.0
541225,29b3ba80c711369d2b14d803f482b103,3.0
541225,6cd5fe98c8b239f303691ed1eeaf42d9,4.0
407317,0bfca57f3fed09a11172e689931181e5,2.0
548118,9f91be191c4a4a068bbdf20c4e8dd87f,5.0
35435368,8001a8ce6d053c0dbe4b311501f15349,5.0
35435368,d86fcb2fc773cc18f45d81b20c4b71ca,5.0
12645188,18ca83de7f4306621db52c623e876eab,4.0
12645188,9b38ea635653ec93ab5402b43ca6764a,3.0
12645188,6797ccd21886758e0868f96d3d984aa9,4.0
12645188,2d72c81ec4c4ed943b3f9c649b039b5d,5.0
9685417,488ad19e14f49c880a45f19eb8f0600c,5.0
20803840,d2430a216e79cd32d4f8b6bd67dafa69,3.0
9794563,b697e56faa90aa60c6e02604510993df,4.0
1812907,8304928632b72713f2b2cb35da0a3c94,4.0
10562194,3e50ddb1c20372dd1765553dafc18847,2.0
10562194,819a64521138df0f3e0e1f0f20353b20,3.0
15100879,97e096205846f658d77485a8884d9d09,1.0
19302543,36a97ed9d18b56d2b1a6fe0e3c115e06,4.0
19302543,4922591667fd3e8adc0c5e3d42cf557a,0.0
19302543,786ee652ebee31ac3b167a436b6ba4d7,0.0
33442,d8c86e725d683042e9eec675f294d7d4,2.0
33442,2c959b1f4be4c1e8713139618a4853aa,0.0
33442,fd960809aeb3ed7a2ebfaef5b4e9dc8d,5.0
33442,75fa3b8ce55550b5241d8add69999d09,3.0
33442,37320bb63a203a188ff39982d424a322,4.0
33442,c056c790208c11cdc8918cef11021994,3.0
33442,c31b43353dff89621abebdbcfa5ee7eb,3.0
33442,86dd336cc43615168f47251e6ce385c6,4.0
33442,a00890af2d2ae3a384ca4d27102fcd74,3.0
33442,de6cc170b1b10dd53cb7e29794d12de2,3.0
33442,fae6bd4ee6493f638f0fb96187b97385,2.0
33442,da7a0c5ee0c89973224d8853445be68e,3.0
33442,ec659dffbcc498d30d2905a084fa0faa,4.0
33442,aa3cd02b23d2b85f070343f6ca412751,2.0
33442,4fd6fabe6eecfe4f64ef0673d30fa45b,4.0
33442,cb2112b448f9f85f33071fc1b178cb07,2.0
33442,95286c6f1f2cabc77d5b326c572ecb77,4.0
